CAINC30 Economic profile
CAINC30 Economic profile
County
GeoFips,GeoName,LineCode,Description,2021
37027,"Caldwell, NC",10,Personal income (thousands of dollars),3528807
37027,"Caldwell, NC",100,"  Population (persons) 3/",80463
37027,"Caldwell, NC",,Place of work profile (thousands of dollars),
37027,"Caldwell, NC",180,"  Earnings by place of work",1748217
37027,"Caldwell, NC",190,"    Wages and salaries",1283779
37027,"Caldwell, NC",240,Total employment (number of jobs),34547
37029,"Camden, NC",,Place of residence profile,
37029,"Camden, NC",10,Personal income (thousands of dollars),600872
37029,"Camden, NC",100,"  Population (persons) 3/",10835
37029,"Camden, NC",,Place of work profile (thousands of dollars),
37029,"Camden, NC",180,"  Earnings by place of work",105097
37029,"Camden, NC",190,"    Wages and salaries",62077
37029,"Camden, NC",240,Total employment (number of jobs),2641
37031,"Carteret, NC",,Place of residence profile,
37031,"Carteret, NC",10,Personal income (thousands of dollars),4163281
37031,"Carteret, NC",100,"  Population (persons) 3/",68541
37031,"Carteret, NC",,Place of work profile (thousands of dollars),
37031,"Carteret, NC",180,"  Earnings by place of work",1675831
37031,"Carteret, NC",190,"    Wages and salaries",1111094
37031,"Carteret, NC",240,Total employment (number of jobs),37430
37033,"Caswell, NC",,Place of residence profile,
37033,"Caswell, NC",10,Personal income (thousands of dollars),959596
37033,"Caswell, NC",100,"  Population (persons) 3/",22714
37033,"Caswell, NC",,Place of work profile (thousands of dollars),
37033,"Caswell, NC",180,"  Earnings by place of work",205891
37033,"Caswell, NC",190,"    Wages and salaries",137430
37033,"Caswell, NC",240,Total employment (number of jobs),5501
37035,"Catawba, NC",,Place of residence profile,
37035,"Catawba, NC",10,Personal income (thousands of dollars),8625094
37035,"Catawba, NC",100,"  Population (persons) 3/",161723
37035,"Catawba, NC",,Place of work profile (thousands of dollars),
37035,"Catawba, NC",180,"  Earnings by place of work",6440981
37035,"Catawba, NC",190,"    Wages and salaries",4840083
37035,"Catawba, NC",240,Total employment (number of jobs),111318
37037,"Chatham, NC",,Place of residence profile,
37037,"Chatham, NC",10,Personal income (thousands of dollars),5890292
37037,"Chatham, NC",100,"  Population (persons) 3/",77889
37037,"Chatham, NC",,Place of work profile (thousands of dollars),
37037,"Chatham, NC",180,"  Earnings by place of work",1251483
37037,"Chatham, NC",190,"    Wages and salaries",787548
37037,"Chatham, NC",240,Total employment (number of jobs),29639
37039,"Cherokee, NC",,Place of residence profile,
37039,"Cherokee, NC",10,Personal income (thousands of dollars),1180820
37039,"Cherokee, NC",100,"  Population (persons) 3/",29167
37039,"Cherokee, NC",,Place of work profile (thousands of dollars),
37039,"Cherokee, NC",180,"  Earnings by place of work",492008
37039,"Cherokee, NC",190,"    Wages and salaries",338540
37039,"Cherokee, NC",240,Total employment (number of jobs),11941
37041,"Chowan, NC",,Place of residence profile,
37041,"Chowan, NC",10,Personal income (thousands of dollars),692417
37041,"Chowan, NC",100,"  Population (persons) 3/",13722
37041,"Chowan, NC",,Place of work profile (thousands of dollars),
37041,"Chowan, NC",180,"  Earnings by place of work",325568
37041,"Chowan, NC",190,"    Wages and salaries",227513
37041,"Chowan, NC",240,Total employment (number of jobs),6909
37043,"Clay, NC",,Place of residence profile,
37043,"Clay, NC",10,Personal income (thousands of dollars),489684
