CAINC30 Economic profile
CAINC30 Economic profile
County
GeoFips,GeoName,LineCode,Description,2021
37139,"Pasquotank, NC",,Place of work profile (thousands of dollars),
37139,"Pasquotank, NC",180,"  Earnings by place of work",1159029
37139,"Pasquotank, NC",190,"    Wages and salaries",812746
37139,"Pasquotank, NC",240,Total employment (number of jobs),22042
37141,"Pender, NC",,Place of residence profile,
37141,"Pender, NC",10,Personal income (thousands of dollars),3056917
37141,"Pender, NC",100,"  Population (persons) 3/",62815
37141,"Pender, NC",,Place of work profile (thousands of dollars),
37141,"Pender, NC",180,"  Earnings by place of work",985117
37141,"Pender, NC",190,"    Wages and salaries",648232
37141,"Pender, NC",240,Total employment (number of jobs),23858
37143,"Perquimans, NC",,Place of residence profile,
37143,"Perquimans, NC",10,Personal income (thousands of dollars),677206
37143,"Perquimans, NC",100,"  Population (persons) 3/",13130
37143,"Perquimans, NC",,Place of work profile (thousands of dollars),
37143,"Perquimans, NC",180,"  Earnings by place of work",175363
37143,"Perquimans, NC",190,"    Wages and salaries",100334
37143,"Perquimans, NC",240,Total employment (number of jobs),4238
37145,"Person, NC",,Place of residence profile,
37145,"Person, NC",10,Personal income (thousands of dollars),1834238
37145,"Person, NC",100,"  Population (persons) 3/",39127
37145,"Person, NC",,Place of work profile (thousands of dollars),
37145,"Person, NC",180,"  Earnings by place of work",660165
37145,"Person, NC",190,"    Wages and salaries",480076
37145,"Person, NC",240,Total employment (number of jobs),14376
37147,"Pitt, NC",,Place of residence profile,
37147,"Pitt, NC",10,Personal income (thousands of dollars),9159356
37147,"Pitt, NC",100,"  Population (persons) 3/",172169
37147,"Pitt, NC",,Place of work profile (thousands of dollars),
37147,"Pitt, NC",180,"  Earnings by place of work",6295187
37147,"Pitt, NC",190,"    Wages and salaries",4414370
37147,"Pitt, NC",240,Total employment (number of jobs),104699
37149,"Polk, NC",,Place of residence profile,
37149,"Polk, NC",10,Personal income (thousands of dollars),1169185
37149,"Polk, NC",100,"  Population (persons) 3/",19656
37149,"Polk, NC",,Place of work profile (thousands of dollars),
37149,"Polk, NC",180,"  Earnings by place of work",383723
37149,"Polk, NC",190,"    Wages and salaries",235646
37149,"Polk, NC",240,Total employment (number of jobs),9008
37151,"Randolph, NC",,Place of residence profile,
37151,"Randolph, NC",10,Personal income (thousands of dollars),6645495
37151,"Randolph, NC",100,"  Population (persons) 3/",145172
37151,"Randolph, NC",,Place of work profile (thousands of dollars),
37151,"Randolph, NC",180,"  Earnings by place of work",3064399
37151,"Randolph, NC",190,"    Wages and salaries",2059855
37151,"Randolph, NC",240,Total employment (number of jobs),63196
37153,"Richmond, NC",,Place of residence profile,
37153,"Richmond, NC",10,Personal income (thousands of dollars),1903866
37153,"Richmond, NC",100,"  Population (persons) 3/",42724
37153,"Richmond, NC",,Place of work profile (thousands of dollars),
37153,"Richmond, NC",180,"  Earnings by place of work",912051
37153,"Richmond, NC",190,"    Wages and salaries",628316
37153,"Richmond, NC",240,Total employment (number of jobs),18113
37155,"Robeson, NC",,Place of residence profile,
37155,"Robeson, NC",10,Personal income (thousands of dollars),4860145
37155,"Robeson, NC",100,"  Population (persons) 3/",116328
37155,"Robeson, NC",,Place of work profile (thousands of dollars),
37155,"Robeson, NC",180,"  Earnings by place of work",2460866
37155,"Robeson, NC",190,"    Wages and salaries",1730367
37155,"Robeson, NC",240,Total employment (number of jobs),52563
37157,"Rockingham, NC",,Place of residence profile,
37157,"Rockingham, NC",10,Personal income (thousands of dollars),4111401
37157,"Rockingham, NC",100,"  Population (persons) 3/",91266
37157,"Rockingham, NC",,Place of work profile (thousands of dollars),
37157,"Rockingham, NC",180,"  Earnings by place of work",1563513
37157,"Rockingham, NC",190,"    Wages and salaries",1121104
37157,"Rockingham, NC",240,Total employment (number of jobs),35132
37159,"Rowan, NC",,Place of residence profile,
37159,"Rowan, NC",10,Personal income (thousands of dollars),6927867
37159,"Rowan, NC",100,"  Population (persons) 3/",148150
37159,"Rowan, NC",,Place of work profile (thousands of dollars),
37159,"Rowan, NC",180,"  Earnings by place of work",3872991
37159,"Rowan, NC",190,"    Wages and salaries",2804807
37159,"Rowan, NC",240,Total employment (number of jobs),69451
37161,"Rutherford, NC",,Place of residence profile,
37161,"Rutherford, NC",10,Personal income (thousands of dollars),2736899
37161,"Rutherford, NC",100,"  Population (persons) 3/",64586
37161,"Rutherford, NC",,Place of work profile (thousands of dollars),
37161,"Rutherford, NC",180,"  Earnings by place of work",1182787
37161,"Rutherford, NC",190,"    Wages and salaries",838266
37161,"Rutherford, NC",240,Total employment (number of jobs),26646
37163,"Sampson, NC",,Place of residence profile,
37163,"Sampson, NC",10,Personal income (thousands of dollars),2704135
37163,"Sampson, NC",100,"  Population (persons) 3/",58990
37163,"Sampson, NC",,Place of work profile (thousands of dollars),
37163,"Sampson, NC",180,"  Earnings by place of work",1286124
37163,"Sampson, NC",190,"    Wages and salaries",829346
37163,"Sampson, NC",240,Total employment (number of jobs),25941
37165,"Scotland, NC",,Place of residence profile,
37165,"Scotland, NC",10,Personal income (thousands of dollars),1443370
37165,"Scotland, NC",100,"  Population (persons) 3/",34227
37165,"Scotland, NC",,Place of work profile (thousands of dollars),
37165,"Scotland, NC",180,"  Earnings by place of work",771337
37165,"Scotland, NC",190,"    Wages and salaries",546498
37165,"Scotland, NC",240,Total employment (number of jobs),14859
37167,"Stanly, NC",,Place of residence profile,
37167,"Stanly, NC",10,Personal income (thousands of dollars),2970033
37167,"Stanly, NC",100,"  Population (persons) 3/",63425
37167,"Stanly, NC",,Place of work profile (thousands of dollars),
37167,"Stanly, NC",180,"  Earnings by place of work",1278893
37167,"Stanly, NC",190,"    Wages and salaries",875888
37167,"Stanly, NC",240,Total employment (number of jobs),27298
37169,"Stokes, NC",,Place of residence profile,
37169,"Stokes, NC",10,Personal income (thousands of dollars),2056514
37169,"Stokes, NC",100,"  Population (persons) 3/",44553
37169,"Stokes, NC",,Place of work profile (thousands of dollars),
37169,"Stokes, NC",180,"  Earnings by place of work",474961
37169,"Stokes, NC",190,"    Wages and salaries",317852
37169,"Stokes, NC",240,Total employment (number of jobs),13533
37171,"Surry, NC",,Place of residence profile,
37171,"Surry, NC",10,Personal income (thousands of dollars),3341516
37171,"Surry, NC",100,"  Population (persons) 3/",71152
37171,"Surry, NC",,Place of work profile (thousands of dollars),
37171,"Surry, NC",180,"  Earnings by place of work",1866826
37171,"Surry, NC",190,"    Wages and salaries",1315873
37171,"Surry, NC",240,Total employment (number of jobs),38415
37173,"Swain, NC",,Place of residence profile,
37173,"Swain, NC",10,Personal income (thousands of dollars),698616
37173,"Swain, NC",100,"  Population (persons) 3/",14136
37173,"Swain, NC",,Place of work profile (thousands of dollars),
37173,"Swain, NC",180,"  Earnings by place of work",415408
37173,"Swain, NC",190,"    Wages and salaries",310237
37173,"Swain, NC",240,Total employment (number of jobs),8648
37175,"Transylvania, NC",,Place of residence profile,
37175,"Transylvania, NC",10,Personal income (thousands of dollars),1732932
37175,"Transylvania, NC",100,"  Population (persons) 3/",33165
37175,"Transylvania, NC",,Place of work profile (thousands of dollars),
37175,"Transylvania, NC",180,"  Earnings by place of work",673919
37175,"Transylvania, NC",190,"    Wages and salaries",439284
37175,"Transylvania, NC",240,Total employment (number of jobs),15456
37177,"Tyrrell, NC",,Place of residence profile,
37177,"Tyrrell, NC",10,Personal income (thousands of dollars),154172
37177,"Tyrrell, NC",100,"  Population (persons) 3/",3254
37177,"Tyrrell, NC",,Place of work profile (thousands of dollars),
37177,"Tyrrell, NC",180,"  Earnings by place of work",65801
37177,"Tyrrell, NC",190,"    Wages and salaries",39259
37177,"Tyrrell, NC",240,Total employment (number of jobs),1553
37179,"Union, NC",,Place of residence profile,
37179,"Union, NC",10,Personal income (thousands of dollars),15539167
37179,"Union, NC",100,"  Population (persons) 3/",243648
37179,"Union, NC",,Place of work profile (thousands of dollars),
37179,"Union, NC",180,"  Earnings by place of work",5768363
37179,"Union, NC",190,"    Wages and salaries",3802246
37179,"Union, NC",240,Total employment (number of jobs),108091
37181,"Vance, NC",,Place of residence profile,
37181,"Vance, NC",10,Personal income (thousands of dollars),1872958
37181,"Vance, NC",100,"  Population (persons) 3/",42185
37181,"Vance, NC",,Place of work profile (thousands of dollars),
37181,"Vance, NC",180,"  Earnings by place of work",854483
37181,"Vance, NC",190,"    Wages and salaries",645563
37181,"Vance, NC",240,Total employment (number of jobs),18807
37183,"Wake, NC",,Place of residence profile,
37183,"Wake, NC",10,Personal income (thousands of dollars),81900659
37183,"Wake, NC",100,"  Population (persons) 3/",1150204
37183,"Wake, NC",,Place of work profile (thousands of dollars),
37183,"Wake, NC",180,"  Earnings by place of work",60688820
37183,"Wake, NC",190,"    Wages and salaries",46309578
37183,"Wake, NC",240,Total employment (number of jobs),825749
37185,"Warren, NC",,Place of residence profile,
37185,"Warren, NC",10,Personal income (thousands of dollars),726839
37185,"Warren, NC",100,"  Population (persons) 3/",18762
37185,"Warren, NC",,Place of work profile (thousands of dollars),
37185,"Warren, NC",180,"  Earnings by place of work",186829
37185,"Warren, NC",190,"    Wages and salaries",126900
37185,"Warren, NC",240,Total employment (number of jobs),5236
37187,"Washington, NC",,Place of residence profile,
37187,"Washington, NC",10,Personal income (thousands of dollars),510249
37187,"Washington, NC",100,"  Population (persons) 3/",10892
37187,"Washington, NC",,Place of work profile (thousands of dollars),
37187,"Washington, NC",180,"  Earnings by place of work",168544
37187,"Washington, NC",190,"    Wages and salaries",116406
37187,"Washington, NC",240,Total employment (number of jobs),4192
37189,"Watauga, NC",,Place of residence profile,
37189,"Watauga, NC",10,Personal income (thousands of dollars),2536285
37189,"Watauga, NC",100,"  Population (persons) 3/",54234
37189,"Watauga, NC",,Place of work profile (thousands of dollars),
37189,"Watauga, NC",180,"  Earnings by place of work",1668637
37189,"Watauga, NC",190,"    Wages and salaries",1133410
37189,"Watauga, NC",240,Total employment (number of jobs),35383
37191,"Wayne, NC",,Place of residence profile,
37191,"Wayne, NC",10,Personal income (thousands of dollars),5827845
37191,"Wayne, NC",100,"  Population (persons) 3/",116835
37191,"Wayne, NC",,Place of work profile (thousands of dollars),
37191,"Wayne, NC",180,"  Earnings by place of work",3397477
37191,"Wayne, NC",190,"    Wages and salaries",2287889
37191,"Wayne, NC",240,Total employment (number of jobs),59463
37193,"Wilkes, NC",,Place of residence profile,
37193,"Wilkes, NC",10,Personal income (thousands of dollars),3038225
37193,"Wilkes, NC",100,"  Population (persons) 3/",65806
37193,"Wilkes, NC",,Place of work profile (thousands of dollars),
37193,"Wilkes, NC",180,"  Earnings by place of work",1452050
37193,"Wilkes, NC",190,"    Wages and salaries",956317
37193,"Wilkes, NC",240,Total employment (number of jobs),29621
37195,"Wilson, NC",,Place of residence profile,
37195,"Wilson, NC",10,Personal income (thousands of dollars),3812002
37195,"Wilson, NC",100,"  Population (persons) 3/",78369
37195,"Wilson, NC",,Place of work profile (thousands of dollars),
37195,"Wilson, NC",180,"  Earnings by place of work",2608992
37195,"Wilson, NC",190,"    Wages and salaries",1948946
37195,"Wilson, NC",240,Total employment (number of jobs),46992
37197,"Yadkin, NC",,Place of residence profile,
37197,"Yadkin, NC",10,Personal income (thousands of dollars),1717229
37197,"Yadkin, NC",100,"  Population (persons) 3/",37192
37197,"Yadkin, NC",,Place of work profile (thousands of dollars),
37197,"Yadkin, NC",180,"  Earnings by place of work",667907
37197,"Yadkin, NC",190,"    Wages and salaries",462682
37197,"Yadkin, NC",240,Total employment (number of jobs),15274
37199,"Yancey, NC",,Place of residence profile,
37199,"Yancey, NC",10,Personal income (thousands of dollars),785772
37199,"Yancey, NC",100,"  Population (persons) 3/",18757
37199,"Yancey, NC",,Place of work profile (thousands of dollars),
37199,"Yancey, NC",180,"  Earnings by place of work",287440
37199,"Yancey, NC",190,"    Wages and salaries",193116
37199,"Yancey, NC",240,Total employment (number of jobs),7430

Legend/Footnotes
"3/ Census Bureau midyear population estimate. BEA produced intercensal annual county population statistics for 2010 to 2019 that are tied to the Census Bureau decennial counts for 2010 and 2020. BEA developed intercensal population statistics because this data was not published when Census released county population data for 2020 and 2021, which are based on the 2020 decennial counts. BEA used the Census Bureau Das Gupta method (see https://www2.census.gov/programs-surveys/popest/technical-documentation/methodology/intercensal/2000-2010-intercensal-estimates-methodology.pdf), modified to account for an extra leap year day, to produce the intercensal population figures that will be used until Census releases its official intercensal population data."
"  Metropolitan Areas are defined (geographically delineated) by the Office of Management and Budget (OMB) bulletin no. 20-01 issued March 6, 2020."
Note. All dollar estimates are in thousands of current dollars (not adjusted for inflation). Statistics presented in thousands of dollars do not indicate more precision than statistics presented in millions of dollars.
"  Last updated: November 16, 2022-- new statistics for 2021; revised statistics for 2010-2020."
